,상태,공고번호,축,품종,털색,성,중성화 여부,특징,접수일시
0,0,전남,개,믹스견,흰,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
1,0,전남,개,믹스견,흰,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
5,0,전북,개,믹스견,흰,수컷,미상,"2개월령 믹스견 수컷, 흰색",2020-05-09
6,0,전북,개,믹스견,흰,수컷,미상,2개월령 믹스견 수컷,2020-05-09
7,0,전북,개,믹스견,흰,수컷,미상,2개월령 믹스견 수컷,2020-05-09
8,1,전북,개,믹스견,흰,수컷,미상,2개월령 믹스견 수컷,2020-05-09
9,1,전북,개,믹스견,흰,암컷,미상,"2개월령 암컷, 흰색 믹스견",2020-05-09
13,1,경북,개,푸들,황,암컷,아니오,"야윔, 우전지 골절 상태 오래됨",2020-05-09
16,0,인천,개,믹스견,흰,수컷,아니오,생후 2개월령,2020-05-09
17,0,세종,개,말티즈,흰,수컷,아니오,털관리 안됨. 가위로 대충 털 자름.,2020-05-09
20,1,경북,개,포메라니안,흰,수컷,아니오,이빨이 다 &#50026;음,2020-05-09
21,1,강원,개,진도견,흰,수컷,아니오,핑크색 목줄만 착용,2020-05-09
25,1,경남,개,골든 리트리버,황,암컷,미상,634,2020-05-09
28,1,전남,개,스피츠,흰,수컷,미상,"순하고 잘따름,관리됨,활발함",2020-05-09
29,1,전남,개,푸들,황,암컷,미상,"미용 및 관리됨,목줄착용,순함",2020-05-09
32,1,충남,개,믹스견,황,암컷,미상,비맞으며 초등학교 한가운데서 배회..멀미해서 침흘림.순함.,2020-05-09
33,1,강원,개,푸들,흰,암컷,미상,"흰색, 겁이 많음.",2020-05-09
35,0,강원,개,믹스견,흰,수컷,미상,"흰색, 진드기있음, 성격 온순.",2020-05-09
39,1,경기,개,스피츠,흰,암컷,미상,연두색 목걸이. 눈물자국. 코갈검. 겁있음. 사람따름. 얌전함. 단미안됨.,2020-05-09
46,1,경기,개,라브라도 리트리버,검,암컷,아니오,없음,2020-05-09
47,1,경기,개,그레이트 피레니즈,흰,암컷,미상,"주황색 목줄, 쇠로된 은색 목걸이 착용",2020-05-09
49,1,경기,개,스피츠,흰,수컷,아니오,털복실 순한 스피츠,2020-05-09
70,0,인천,개,믹스견,흰,수컷,아니오,어미와 같이 구조됨,2020-05-09
77,1,부산,개,말티즈,흰,수컷,미상,흰색,2020-05-09
83,1,서울,개,믹스견,흰,수컷,아니오,양눈백내장.양귀쫑긋.코갈색.치석심함.겁있음.소심함.사람따름.,2020-05-09
85,1,서울,개,말티즈,흰,암컷,아니오,"현재 발정중, 양호함. 가출로 보여짐",2020-05-09
86,1,서울,개,믹스견,황,암컷,미상,양귀쫑긋. 코검정. 겁많음. 소심함. 꼬리단미안됨. 털상태 양호.,2020-05-09
90,1,강원,개,말티즈,흰,암컷,아니오,"옷착용, 미용됨",2020-05-09
91,1,서울,개,스피츠,흰,암컷,아니오,"순하고사람잘따름,피부귀상태양호.칩없음",2020-05-09
93,1,경북,개,믹스견,흰,수컷,아니오,남천강변에서 배회,2020-05-09
109,1,충남,개,푸들,검,암컷,아니오,765호(관리) 411호(공고) 온순함,2020-05-09
119,1,충남,개,푸들,검,암컷,아니오,765호(관리) 411호(공고) 온순함,2020-05-09
120,1,충남,개,믹스견,흰,수컷,아니오,764호(관리) 410호(공고) 착함,2020-05-09
124,1,경기,개,믹스견,흰,암컷,아니오,"채리아이, 겁이다소 있으나 온순함",2020-05-09
125,0,경기,개,믹스견,흰,암컷,아니오,겁이많음,2020-05-09
126,0,경기,개,믹스견,흰,수컷,아니오,"겁이 다소 있으나, 온순함",2020-05-09
127,0,경기,개,진도견,흰,수컷,아니오,경계심이 많고 사나움,2020-05-09
128,0,경기,개,풍산견,흰,암컷,아니오,온순함,2020-05-09
139,1,경기,개,믹스견,황,수컷,아니오,"GPS착용, 온순함",2020-05-09
140,1,경기,개,스피츠,흰,암컷,아니오,온순함,2020-05-09
144,0,경기,개,진도견,황,암컷,아니오,"좌측다리 부상, 경계심이 다소있음",2020-05-09
146,0,경기,개,진도견,흰,수컷,아니오,온순함,2020-05-09
156,1,경기,개,푸들,황,수컷,예,인식표있으나 주인전화 안받음,2020-05-09
158,1,경기,개,케인 코르소,검,암컷,아니오,강아지,2020-05-09
159,1,경기,개,코리아 트라이 하운드,검,수컷,아니오,강아지,2020-05-09
160,1,경기,개,믹스견,흰,암컷,아니오,순함,2020-05-09
165,1,경기,개,푸들,황,수컷,예,칩있음.,2020-05-09
181,1,광주,개,말티즈,흰,암컷,미상,20-0669 눈이,2020-05-09
194,1,대구,개,말티즈,흰,암컷,미상,겁 많음,2020-05-09
200,0,전북,개,믹스견,흰,암컷,아니오,흰색을 띄고 있음,2020-05-08
210,0,전북,개,믹스견,흰,암컷,아니오,흰색을 띄고 있음,2020-05-08
222,0,경남,개,삽살개,황,암컷,아니오,순함,2020-05-08
224,0,경남,개,믹스견,흰,수컷,예,사나움,2020-05-08
225,0,경남,개,믹스견,흰,암컷,아니오,까칠함,2020-05-08
229,0,전남,개,믹스견,흰,수컷,아니오,5마리 중에서 가장 온순함,2020-05-08
230,0,전남,개,믹스견,황,수컷,아니오,5마리 중에서 가장 까칠함 그러나 그것이 매력,2020-05-08
231,0,전남,개,믹스견,황,수컷,아니오,5마리 중에서 가장 애교를 부림,2020-05-08
232,0,전남,개,믹스견,흰,암컷,아니오,유기견이 빈집에 들어와서 세끼 출산 어미견 포획 실패.,2020-05-08
233,0,전남,개,믹스견,흰,암컷,아니오,아직 손을 타지 않아서 조금은 성깔을 부림,2020-05-08
236,0,전남,개,믹스견,흰,암컷,아니오,마을에 돌면서 운동이나 산책하는 아이와 주부들에게 위협적인 행동,2020-05-08
244,1,제주,개,푸들,검,수컷,예,(개체관리번호2417),2020-05-08
245,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2416)생후2개월,2020-05-08
246,1,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2415)생후7개월,2020-05-08
247,1,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2414)생후7개월,2020-05-08
248,1,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2413)생후7개월,2020-05-08
249,1,제주,개,골든 리트리버,황,수컷,아니오,(개체관리번호2412)생후8개월,2020-05-08
251,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2410)생후2개월,2020-05-08
252,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2409)생후2개월,2020-05-08
