상태,공고번호,축,품종,털색,성,중성화 여부,특징,접수일시
종료(안락사),전남-영광-2020-00130,개,믹스견,흰색,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
종료(안락사),전남-영광-2020-00129,개,믹스견,흰색,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
종료(안락사),전남-영광-2020-00128,개,믹스견,"흰색, 흑갈색",암컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
종료(안락사),전북-부안-2020-00159,개,믹스견,"흰색, 검정",암컷,미상,"2개월령 믹스견 암컷, 바둑무늬",2020-05-09
종료(안락사),전북-부안-2020-00158,개,믹스견,밤색,수컷,미상,"2개월령 믹스견 수컷, 밤색",2020-05-09
종료(안락사),전북-부안-2020-00157,개,믹스견,흰색,수컷,미상,"2개월령 믹스견 수컷, 흰색",2020-05-09
종료(안락사),전북-부안-2020-00156,개,믹스견,흰색,수컷,미상,2개월령 믹스견 수컷,2020-05-09
종료(안락사),전북-부안-2020-00170,개,믹스견,흰색,수컷,미상,2개월령 믹스견 수컷,2020-05-09
종료(입양),전북-부안-2020-00169,개,믹스견,흰색,수컷,미상,2개월령 믹스견 수컷,2020-05-09
종료(입양),전북-부안-2020-00168,개,믹스견,흰색,암컷,미상,"2개월령 암컷, 흰색 믹스견",2020-05-09
종료(안락사),전북-부안-2020-00167,개,믹스견,"검회색, 밤색",암컷,미상,"3세 믹스견 암컷, 검회색, 밤색",2020-05-09
종료(안락사),전북-부안-2020-00166,개,믹스견,"흰색, 검정",암컷,미상,3살 바둑무늬 암컷,2020-05-09
종료(입양),서울-마포-2020-00110,고양이,한국 고양이,치즈,암컷,미상,"순함,건물 베란다에서 구조, 가출고양이로 추정",2020-05-09
종료(입양),경북-김천-2020-00163,개,푸들,갈색,암컷,아니오,"야윔, 우전지 골절 상태 오래됨",2020-05-09
종료(입양),경북-김천-2020-00162,고양이,한국 고양이,호랑이무늬,암컷,아니오,"약간 하악질하나 순함, 어림",2020-05-09
종료(입양),경북-김천-2020-00161,고양이,한국 고양이,흰색+검정색,수컷,아니오,"어리고 순함, 하악질 약간 함",2020-05-09
종료(안락사),인천-강화-2020-00276,개,믹스견,흰색,수컷,아니오,생후 2개월령,2020-05-09
종료(안락사),세종-세종-2020-00111,개,말티즈,흰색,수컷,아니오,털관리 안됨. 가위로 대충 털 자름.,2020-05-09
종료(자연사),경기-과천-2020-00049,고양이,한국 고양이,노랑무늬,수컷,아니오,고양이몸에상처.좌측전지절단,2020-05-09
종료(자연사),경남-창녕-2020-00362,개,믹스견,흰색+회색,수컷,예,친숙함,2020-05-09
종료(입양),경북-상주-2020-00178,개,포메라니안,흰,수컷,아니오,이빨이 다 &#50026;음,2020-05-09
종료(입양),강원-강릉-2020-00219,개,진도견,흰색,수컷,아니오,핑크색 목줄만 착용,2020-05-09
종료(자연사),경남-거창-2020-00157,개,믹스견,진갈색,수컷,미상,2개월 가량,2020-05-09
종료(기증),경남-양산-2020-00116,개,믹스견,흰색/갈색,수컷,아니오,흰색/갈색,2020-05-09
종료(입양),경남-거제-2020-00461,개,믹스견,검정 갈색,수컷,아니오,순한편,2020-05-09
종료(입양),경남-김해-2020-00649,개,골든 리트리버,갈색,암컷,미상,634,2020-05-09
종료(자연사),경남-김해-2020-00648,고양이,한국 고양이,갈검흰,미상,미상,"633, 7일추정, 3두, 탈진, 허약, 어미없음&젖먹이",2020-05-09
종료(자연사),경남-김해-2020-00647,개,믹스견,갈검,수컷,미상,"632, 6월추정",2020-05-09
종료(입양),전남-목포-2020-00372,개,스피츠,흰색,수컷,미상,"순하고 잘따름,관리됨,활발함",2020-05-09
종료(입양),전남-목포-2020-00371,개,푸들,갈색,암컷,미상,"미용 및 관리됨,목줄착용,순함",2020-05-09
종료(자연사),충남-홍성-2020-00250,개,믹스견,연갈색,암컷,미상,상당히 마른 영양실조,2020-05-09
종료(안락사),충남-서천-2020-00089,개,코카 스파니엘,"검은색, 갈색, 흰색",암컷,미상,.,2020-05-09
종료(반환),충남-천안-2020-00360,개,믹스견,갈색,암컷,미상,비맞으며 초등학교 한가운데서 배회..멀미해서 침흘림.순함.,2020-05-09
종료(입양),강원-춘천-2020-00217,개,푸들,흰색,암컷,미상,"흰색, 겁이 많음.",2020-05-09
종료(입양),강원-춘천-2020-00216,개,믹스견,연갈색&검정색,암컷,미상,"연갈색&검정색, 진드기있음, 경계심이 많음.",2020-05-09
종료(안락사),강원-춘천-2020-00215,개,믹스견,흰색,수컷,미상,"흰색, 진드기있음, 성격 온순.",2020-05-09
종료(반환),강원-춘천-2020-00214,개,믹스견,연갈색&흰색,수컷,미상,"연갈색&흰색, 진드기있음, 성격 온순.",2020-05-09
종료(자연사),경기-포천-2020-00362,고양이,한국 고양이,검/흰,수컷,아니오,눈곱. 콧물. 코검정. 꼬리짧음. 털때탐.,2020-05-09
종료(기증),경기-포천-2020-00361,개,푸들,연갈,수컷,아니오,방울+파랑+노랑하네스/스테이플러로 수리됨. 눈물자국. 오염. 꼬리털긺. 낑낑댐. 사람좋아함. 진드기오염.,2020-05-09
종료(반환),경기-포천-2020-00360,개,스피츠,흰,암컷,미상,연두색 목걸이. 눈물자국. 코갈검. 겁있음. 사람따름. 얌전함. 단미안됨.,2020-05-09
종료(안락사),경기-포천-2020-00359,개,믹스견,흰/갈,수컷,아니오,양귀처짐. 코검정. 거친털. 얌전. 꼬리단미안됨. 털상태양호. 진드기오염.,2020-05-09
종료(안락사),경기-포천-2020-00358,개,믹스견,연갈/흰,암컷,미상,양귀쫑긋. 오른눈 왼눈에 비해 작음. 얌전. 비틀거림/기력없음/기립못함. 통증호소. 진드기오염. 식욕없음.,2020-05-09
종료(자연사),경기-광주-2020-00316,고양이,한국 고양이,삼색,암컷,아니오,"5-43, 3주령, 저체온, 호흡기질환이 심하고 식욕이 전혀없어요",2020-05-09
종료(자연사),경기-광주-2020-00315,고양이,한국 고양이,검백색,수컷,아니오,"5-42, 3주령, 저체온, 호흡기질환이 심하고 식욕이 전혀없어요",2020-05-09
종료(입양),경기-안성-2020-00476,개,믹스견,검갈색,수컷,아니오,없음,2020-05-09
종료(안락사),경기-안성-2020-00475,개,믹스견,크림,수컷,아니오,없음,2020-05-09
종료(입양),경기-안성-2020-00474,개,라브라도 리트리버,검정,암컷,아니오,없음,2020-05-09
종료(반환),경기-고양-2020-00456,개,그레이트 피레니즈,흰색,암컷,미상,"주황색 목줄, 쇠로된 은색 목걸이 착용",2020-05-09
종료(기증),경기-의정부-2020-00164,개,말티즈,흰,수컷,아니오,눈곱. 눈물자국. 코검정. 겁많음. 소심함. 꼬리단미안됨. 털상태불량. 양슬개골심함.,2020-05-09
종료(입양),경기-수원-2020-00390,개,스피츠,흰색,수컷,아니오,털복실 순한 스피츠,2020-05-09
종료(자연사),경기-수원-2020-00389,고양이,한국 고양이,흑갈,미상,미상,사고추정 후구마비 증상 치료중,2020-05-09
종료(자연사),울산-울주-2020-00378,개,믹스견,검정.회색.흰색,미상,아니오,"꼬리,뒷다리상처/염증있음/농이차있음/병원처치후입소/파랑빨강목테",2020-05-09
종료(자연사),울산-울주-2020-00377,개,믹스견,검정,미상,미상,경계심이심해상세정보추후기재,2020-05-09
종료(자연사),울산-동구-2020-00098,고양이,한국 고양이,회색.흰색,미상,미상,허약,2020-05-09
종료(자연사),울산-동구-2020-00097,고양이,한국 고양이,검정.갈색.흰색,미상,미상,허약,2020-05-09
종료(입양),울산-동구-2020-00096,고양이,한국 고양이,검정.흰색,미상,미상,허약,2020-05-09
종료(입양),대전-유성-2020-00209,개,믹스견,황,암컷,미상,유성 20-204-205 동시구조,2020-05-09
종료(자연사),대전-유성-2020-00208,개,믹스견,황,암컷,미상,유성 20-204-205동시구조,2020-05-09
종료(반환),대전-유성-2020-00207,개,믹스견,검황,암컷,미상,,2020-05-09
종료(안락사),대전-서구-2020-00218,고양이,한국 고양이,갈색,수컷,미상,,2020-05-09
종료(자연사),대전-서구-2020-00217,개,믹스견,백색,수컷,미상,,2020-05-09
종료(반환),대전-중구-2020-00188,개,말티즈,백,수컷,아니오,",",2020-05-09
