상태,공고번호,축,품종,털색,성,중성화 여부,특징,접수일시
종료(자연사),전남-나주-2020-00221,개,믹스견,흰색,수컷,미상,1개월령 믹스견,2020-05-13
종료(반환),전남-나주-2020-00220,개,믹스견,갈색,수컷,미상,2년생 믹스견,2020-05-13
종료(입양),경남-밀양-2020-00745,개,믹스견,회색,수컷,미상,온순한아이,2020-05-13
종료(자연사),경남-밀양-2020-00712,개,닥스훈트,블랙 초코,수컷,미상,온순한 아이,2020-05-13
종료(안락사),경남-밀양-2020-00711,개,믹스견,연갈색,수컷,미상,사나움,2020-05-13
종료(자연사),경남-밀양-2020-00710,개,치와와,초코탄,수컷,미상,온순한 아이,2020-05-13
종료(자연사),경남-밀양-2020-00709,개,포메라니안,크림색,암컷,미상,온순한 아이,2020-05-13
종료(안락사),경남-밀양-2020-00708,개,믹스견,화이트,암컷,미상,사나움,2020-05-13
종료(안락사),경남-밀양-2020-00707,개,믹스견,화이트,암컷,미상,사나움,2020-05-13
종료(입양),경남-밀양-2020-00706,개,치와와,블랙탄,수컷,미상,온수한 아이,2020-05-13
종료(입양),경남-밀양-2020-00705,개,믹스견,갈색,암컷,미상,온수한 아이,2020-05-13
종료(입양),충북-괴산-2020-00145,개,시바,갈색,수컷,아니오,사나움.,2020-05-13
보호중,강원-원주-2020-00372,개,믹스견,흰색,수컷,아니오,"피부,진드기",2020-05-13
종료(입양),강원-원주-2020-00371,개,믹스견,흰색,수컷,아니오,"피부,진드기",2020-05-13
종료(반환),강원-원주-2020-00369,개,말티즈,흰색,암컷,아니오,미용됨,2020-05-13
종료(입양),경북-상주-2020-00194,개,진도견,흰,암컷,아니오,주황색 목줄,2020-05-13
종료(자연사),경북-상주-2020-00193,개,믹스견,흰,암컷,아니오,생후2개월령,2020-05-13
종료(안락사),인천-강화-2020-00283,개,믹스견,갈색,암컷,아니오,"들개,포악",2020-05-13
종료(자연사),인천-강화-2020-00281,개,믹스견,갈색,암컷,아니오,생후 5개월령,2020-05-13
종료(자연사),인천-강화-2020-00280,개,믹스견,흰색,수컷,아니오,생후 5개월령,2020-05-13
종료(안락사),인천-강화-2020-00279,개,믹스견,"검은색,갈색",수컷,아니오,생후 5개월령,2020-05-13
보호중,전북-완주-2020-00177,개,믹스견,흰색,암컷,아니오,너무 어림,2020-05-13
보호중,전북-완주-2020-00176,개,믹스견,흰색,암컷,아니오,어린아기,2020-05-13
보호중,전북-완주-2020-00175,개,믹스견,흰색,암컷,아니오,너무 어림,2020-05-13
보호중,전북-완주-2020-00174,개,믹스견,흰색,암컷,아니오,너무 어림,2020-05-13
종료(입양),인천-강화-2020-00278,개,믹스견,"흰색, 갈색",암컷,아니오,생후 50일령,2020-05-13
종료(자연사),인천-강화-2020-00277,개,믹스견,"흑갈색,흰색",수컷,아니오,생후3일령 영아견,2020-05-13
종료(입양),경남-창원2-2020-00203,개,믹스견,누런+흰색+검정,암컷,미상,뒷다리 부상으로 병원치료 중,2020-05-13
종료(반환),경남-창원2-2020-00202,개,푸들,갈색,수컷,미상,순함,2020-05-13
종료(안락사),전남-함평-2020-00120,개,믹스견,흰색,수컷,아니오,"믹스견, 흰색, 수, 0.5세, 3kg 추정(2마리)",2020-05-13
종료(입양),전남-순천-2020-00203,개,믹스견,흰색,수컷,아니오,"종합백신,코로나장염 예방,레볼루션",2020-05-13
종료(반환),전남-여수-2020-00165,개,포메라니안,갈색,수컷,아니오,온순함,2020-05-13
종료(반환),충남-금산-2020-00072,개,푸들,흰색,수컷,아니오,없음,2020-05-13
종료(자연사),강원-홍천-2020-00071,개,믹스견,검은색 흰색 얼룩,수컷,아니오,없음,2020-05-13
보호중,강원-홍천-2020-00070,개,믹스견,옅은 노랑색,암컷,아니오,없음,2020-05-13
보호중,강원-홍천-2020-00069,개,믹스견,밤색 노랑색 흰색 얼룩,수컷,아니오,없음,2020-05-13
보호중,강원-홍천-2020-00067,개,믹스견,노랑색 얼룩,암컷,아니오,없음,2020-05-13
종료(안락사),경기-양주-2020-00255,개,믹스견,연갈/흰,수컷,아니오,양귀반접힘. 코검정. 몸곳곳오물오염. 얌전함. 사람따름. 낑낑거림. 꼬리단미안됨. 털때탐.,2020-05-13
종료(안락사),경기-양주-2020-00254,개,믹스견,갈/흰,암컷,미상,양귀처짐. 눈곱약간. 양뒷발며느리발톱. 정확한나이추정불가/겁있음/사람따르는듯하다 으르렁대며입질.,2020-05-13
종료(안락사),경기-양주-2020-00253,개,믹스견,갈/흰,수컷,아니오,양귀처짐. 코검정. 잠복고환. 겁많음. 입질. 꼬리단미안됨. 털상태 양호.,2020-05-13
종료(자연사),전남-나주-2020-00221,개,믹스견,흰색,수컷,미상,1개월령 믹스견,2020-05-13
종료(반환),전남-나주-2020-00220,개,믹스견,갈색,수컷,미상,2년생 믹스견,2020-05-13
종료(입양),경남-밀양-2020-00745,개,믹스견,회색,수컷,미상,온순한아이,2020-05-13
종료(자연사),경남-밀양-2020-00712,개,닥스훈트,블랙 초코,수컷,미상,온순한 아이,2020-05-13
종료(안락사),경남-밀양-2020-00711,개,믹스견,연갈색,수컷,미상,사나움,2020-05-13
종료(자연사),경남-밀양-2020-00710,개,치와와,초코탄,수컷,미상,온순한 아이,2020-05-13
종료(자연사),경남-밀양-2020-00709,개,포메라니안,크림색,암컷,미상,온순한 아이,2020-05-13
종료(안락사),경남-밀양-2020-00708,개,믹스견,화이트,암컷,미상,사나움,2020-05-13
종료(안락사),경남-밀양-2020-00707,개,믹스견,화이트,암컷,미상,사나움,2020-05-13
종료(입양),경남-밀양-2020-00706,개,치와와,블랙탄,수컷,미상,온수한 아이,2020-05-13
종료(안락사),경기-양주-2020-00242,개,믹스견,흰/연갈,암컷,미상,양귀반접힘. 눈곱약간. 코갈색. 겁많음/소심함/움찔거림/꺼내면으르렁거리나 입질없음. 진드기.,2020-05-13
종료(자연사),인천-계양-2020-00274,개,믹스견,백색/갈색,수컷,아니오,사람을 경계함,2020-05-13
종료(안락사),인천-중구-2020-00244,개,믹스견,흰색,수컷,아니오,두마리 같이 구조됨,2020-05-13
종료(안락사),인천-중구-2020-00243,개,믹스견,흰,수컷,아니오,두마리 같이 구조됨,2020-05-13
종료(입양),서울-도봉-2020-00083,개,말티즈,흰,수컷,아니오,고령. 눈곱. 눈물자국. 백내장. 코진갈. 이빨몇개안남음. 치석심함. 피부질환. 얌전함. 사람따름. 칩있음.,2020-05-13
종료(입양),서울-광진-2020-00061,개,말티즈,흰,수컷,아니오,꼬리끝뭉툭/길게단미된듯함.왼위송곳니유치남음.전신미용흔적/네다리털더긺.겁많음/경계/사람따름.,2020-05-13
종료(안락사),제주-제주-2020-02587,개,믹스견,검/갈,암컷,미상,"(개체관리번호2498)심장사상충, 경계심",2020-05-13
종료(자연사),제주-제주-2020-02586,개,믹스견,갈색,암컷,아니오,(개체관리번호2497)생후8개월,2020-05-13
종료(안락사),제주-제주-2020-02585,개,믹스견,흰색,암컷,아니오,(개체관리번호2496)생후6개월,2020-05-13
종료(안락사),제주-제주-2020-02584,개,믹스견,흰색,수컷,아니오,(개체관리번호2495)생후7개월,2020-05-13
종료(안락사),제주-제주-2020-02583,개,믹스견,갈색,암컷,아니오,(개체관리번호2494)생후7개월,2020-05-13
종료(안락사),제주-제주-2020-02582,개,믹스견,흰색,수컷,미상,"(개체관리번호2493)심장사상충, 경계심",2020-05-13
종료(안락사),제주-제주-2020-02581,개,믹스견,흰색,수컷,미상,"(개체관리번호2492)파란목줄착용, 경계심",2020-05-13
종료(안락사),제주-제주-2020-02580,개,믹스견,검정,암컷,아니오,(개체관리번호2491)생후3개월,2020-05-13
종료(자연사),제주-제주-2020-02579,개,믹스견,갈색,수컷,아니오,(개체관리번호2490)생후2주,2020-05-13
종료(안락사),제주-제주-2020-02578,개,믹스견,갈색,수컷,아니오,(개체관리번호2489)생후2주,2020-05-13
종료(안락사),제주-제주-2020-02577,개,믹스견,흰색,수컷,아니오,(개체관리번호2488)생후2주,2020-05-13
종료(안락사),제주-제주-2020-02576,개,믹스견,흰색,수컷,아니오,(개체관리번호2487)생후2주,2020-05-13
종료(안락사),제주-제주-2020-02575,개,믹스견,흰색,수컷,아니오,(개체관리번호2486)생후2주,2020-05-13
종료(안락사),제주-제주-2020-02574,개,믹스견,흰색,암컷,아니오,(개체관리번호2485)생후1개월,2020-05-13
종료(안락사),제주-제주-2020-02573,개,믹스견,흰색,암컷,아니오,(개체관리번호2484)생후1개월,2020-05-13
종료(안락사),제주-제주-2020-02572,개,믹스견,흰색,암컷,아니오,(개체관리번호2483)생후1개월,2020-05-13
종료(안락사),제주-제주-2020-02571,개,믹스견,흰색,암컷,아니오,(개체관리번호2482)생후1개월,2020-05-13
종료(안락사),제주-제주-2020-02570,개,믹스견,흰색,수컷,아니오,(개체관리번호2481)생후1개월,2020-05-13
종료(안락사),제주-제주-2020-02569,개,믹스견,흰색,암컷,미상,(개체관리번호2480)심장사상충,2020-05-13
종료(안락사),제주-제주-2020-02568,개,믹스견,갈색,수컷,미상,(개체관리번호2478)심장사상충,2020-05-13
종료(안락사),제주-제주-2020-02567,개,믹스견,흰색,암컷,미상,(개체관리번호2477)생후11개월,2020-05-13
종료(안락사),제주-제주-2020-02566,개,믹스견,흰색,수컷,아니오,(개체관리번호2476)생후7개월,2020-05-13
종료(입양),경남-거창-2020-00163,개,믹스견,갈색,암컷,미상,핑크색 목줄 착용,2020-05-13
종료(입양),경남-거창-2020-00162,개,시베리안 허스키,"회색, 흰색",암컷,미상,핑크색 목줄 착용,2020-05-13
보호중,경남-거제-2020-00491,개,믹스견,흰색,수컷,아니오,순함,2020-05-13
종료(자연사),경남-김해-2020-00681,개,믹스견,흰검,암컷,미상,666,2020-05-13
종료(입양),전남-영암-2020-00198,개,푸들,갈색,수컷,아니오,유기된 시점에서 임신이 되었고 보호소 입소 10일 만에 새끼 출산,2020-05-13
종료(반환),전남-목포-2020-00379,개,믹스견,검정색,암컷,미상,"순하고 잘따름,체인목걸이 착용",2020-05-13
종료(입양),충남-천안-2020-00372,개,푸들,갈색,수컷,아니오,미용한지 얼마 안되어보임.경계심없음.,2020-05-13
종료(반환),강원-춘천-2020-00229,개,말티즈,흰색,암컷,미상,"흰색, 성격 온순.",2020-05-13
종료(안락사),경기-포천-2020-00369,개,믹스견,갈/검,수컷,아니오,목줄에의한목상처.우후지대퇴골절및골절부위염증/오른뒷다리 못디딤.으르렁댐/입질.,2020-05-13
종료(안락사),경기-포천-2020-00368,개,믹스견,검/갈,암컷,미상,양귀쫑긋. 눈곱/눈물자국 약간. 코검정. 살짝여윔.겁많음. 소심함. 움찔댐.,2020-05-13
종료(입양),경기-연천-2020-00245,개,믹스견,흰,암컷,미상,양귀쫑긋. 눈곱/눈물자국 약간. 코주황. 유선처짐. 겁있음. 얌전함. 사람따름.,2020-05-13
종료(안락사),경기-연천-2020-00244,개,믹스견,흰/연갈,수컷,아니오,우전지발목부위골절후잘못붙은듯/골부종.상처/잘못디딤.진드기.겁많음/소심함/도망다님/만지는건괜찮음.,2020-05-13
종료(자연사),경기-구리-2020-00037,개,믹스견,갈/흰,암컷,미상,백내장.콧등탈모/코진갈.네다리/엉덩이/꼬리오물오염.겁있음.얌전함.사람따름.여윔.,2020-05-13
종료(안락사),경기-고양-2020-00473,개,믹스견,황색,수컷,아니오,눈물자국 있음,2020-05-13
종료(반환),경기-고양-2020-00472,개,미니어쳐 핀셔,"검정,갈색",암컷,미상,단미,2020-05-13
종료(안락사),경기-의정부-2020-00170,개,믹스견,연갈,수컷,아니오,양귀처짐. 코검정. 설사. 얌전. 꼬리단미안됨. 털때탐.,2020-05-13
종료(안락사),경기-의정부-2020-00169,개,믹스견,갈,암컷,미상,양귀처짐. 코검정. 설사. 사람따름. 꼬리단미안됨. 털때탐.,2020-05-13
종료(안락사),경기-의정부-2020-00168,개,믹스견,갈/검,수컷,아니오,양귀처짐. 코검정. 털오물오염. 사람따름. 꼬리단미안됨. 털상태불량.,2020-05-13
종료(안락사),경기-의정부-2020-00167,개,믹스견,검,암컷,미상,양귀처짐. 코검정. 사람따름. 꼬리단미안됨. 털상태 양호.,2020-05-13
종료(입양),경기-의정부-2020-00166,개,믹스견,연갈,암컷,미상,양귀처짐. 코검정. 털오물오염. 사람따름. 털상태불량. 꼬리단미안됨.,2020-05-13
종료(반환),경기-수원-2020-00405,개,포메라니안,갈색,수컷,아니오,내장칩있음,2020-05-13
종료(자연사),울산-울주-2020-00398,개,믹스견,연갈색,수컷,아니오,뒷다리다침/순함,2020-05-13
종료(반환),인천-중구-2020-00229,개,믹스견,흰색(말티즈믹스),수컷,아니오,"빨간목줄하고있고,털을 짧게 미용함.피부가 약간있음.",2020-05-13
종료(입양),인천-중구-2020-00228,개,푸들,갈색,수컷,아니오,"파랑색 패딩입고있고,비교적 양호한것으로 사료됨",2020-05-13
종료(반환),대구-달서-2020-00146,개,시바,갈색,수컷,예,내장칩 등록견,2020-05-13
보호중,부산-강서-2020-00238,개,믹스견,아이보리,암컷,미상,귀갈색,2020-05-13
종료(반환),부산-금정-2020-00149,개,말티푸,흰색,암컷,미상,"금정 1-86, 겁이많음",2020-05-13
종료(입양),부산-서구-2020-00147,개,말티즈,흰색,암컷,아니오,"허약,털이 눈을 덮음",2020-05-13
종료(반환),서울-마포-2020-00098,개,믹스견,흰/갈색,수컷,예,하네스착용/미용함,2020-05-13
종료(안락사),서울-강북-2020-00102,개,믹스견,흰,암컷,미상,양귀쫑긋.오른눈곱/눈물자국.코주황.우전지 상처.살짝여윔.겁있음/소심함/사람좋아함/호기심있음.칩있음.,2020-05-13
종료(입양),서울-용산-2020-00075,개,푸들,갈색,수컷,예,"다리쪽 만질 때 조금 불편해함, 사람 잘 따라다님, 발톱이 엄청 긴상태",2020-05-13
종료(안락사),제주-제주-2020-02551,개,믹스견,갈색,암컷,아니오,(개체관리번호2465)생후8개월,2020-05-13
종료(반환),인천-중구-2020-00229,개,믹스견,흰색(말티즈믹스),수컷,아니오,"빨간목줄하고있고,털을 짧게 미용함.피부가 약간있음.",2020-05-13
종료(입양),인천-중구-2020-00228,개,푸들,갈색,수컷,아니오,"파랑색 패딩입고있고,비교적 양호한것으로 사료됨",2020-05-13
종료(반환),대구-달서-2020-00146,개,시바,갈색,수컷,예,내장칩 등록견,2020-05-13
보호중,부산-강서-2020-00238,개,믹스견,아이보리,암컷,미상,귀갈색,2020-05-13
종료(반환),부산-금정-2020-00149,개,말티푸,흰색,암컷,미상,"금정 1-86, 겁이많음",2020-05-13
종료(입양),부산-서구-2020-00147,개,말티즈,흰색,암컷,아니오,"허약,털이 눈을 덮음",2020-05-13
